"state","year","co2_emission","total_num_investments","total_amnt_assist","BDFDB","BDPRP","BFFDB","BFPRP","CLPRB","CLPRK","CLPRP","COPRK","EMFDB","ENPRP","GETCB","HYTCB","NCPRB","NGMPB","NGMPK","NGMPP","NUETB","PAPRB","PAPRP","REPRB","SOTCB","TEPRB","TETCB","WDEXB","WDPRB","WDTCB","WSTCB","WWPRB","WYTCB","employment_total","employment_wage_salary","employment_proprietors","employment_proprietors_farm","employment_proprietors_nonfarm","employment_farm","employment_nonfarm","employment_nonfarm_private","employment_forestry_fishing_related","employment_mining_quarrying_oil_gas","employment_utilities","employment_contrsuction","employment_manufacturing","employment_wholesale_trade","employment_retail_trade","employment_transportation_warehousing","employment_information","employment_finance_insurance","employment_real_estate_rental_leasing","employment_professional_scientific_technical","employment_management_companies","employment_administrative_support_waste_remediation","employment_educational","employment_healh_care","employment_arts_entertainment_recreation","employment_accommodation_food","employment_other_services","employment_government_gov_enterprises","employment_federal_civilian","employment_military","employment_state_local","employment_state","employment_local","gdp_all_industry_total","gdp_private_industries","gdp_agriculture_forestry_fishing_hunting","gdp_farms","gdp_forestry_fishing_related","gdp_mining_quarrying_oil_gas","gdp_oil_gas","gdp_mining","gdp_support_activities_mining","gdp_utlilities","gdp_construction","gdp_manufacturing","gdp_durable_goods_manufacturing","gdp_wood_product_manufacturing","gdp_nonmetallic_mineral_product_manufacturing","gdp_primary_metal_manufacturing","gdp_fabricated_metal_product_manufacturing","gdp_machinery_manufacturing","gdp_computer_electronic_manufacturing","gdp_electrical_equipment_appliance_manufacturing","gdp_vehicles_trailers_parts_manufacturing","gdp_other_transportation_equipment_manufacturing","gdp_furniture_manufacturing","gdp_miscellaneous_manufacturing","gdp_nondurable_goods_manufacturing","gdp_food_beverage_tabacco_manufacturing","gdp_textile","gdp_apparel_manufacturing","gdp_paper_manufacturing","gdp_printing","gdp_petroleum_coal_manufacturing","gdp_chemical_manufacturing","gdp_plastics_rubber_manufacturing","gdp_wholesale_trade","gdp_retail_trade","gdp_transportation_warehousing","gdp_air_transportation","gdp_rail_transportation","gdp_water_trasnportation","gdp_truck_transportation","gdp_ground_passenger_transportation","gdp_pipeline_transportation","gdp_other_transportation","gdp_warehousing","gdp_information","gdp_publishing_industries","gdp_motion_pictures","gdp_broadcasting","gdp_data_processing_hosting","gdp_finance_insurance_real_estate","gdp_finance_insurance","gdp_monetary_authorities","gdp_securities_contracts","gdp_insurance_carriers","gdp_funds_trusts","gdp_real_estate_rental_leasing","gdp_real_estate","gdp_rental_leasing","gdp_professional_business","gdp_professional_scientific_technical","gdp_legal","gdp_computer_systems_design","gdp_misc_professional_scientific","gdp_management_companies_enterprises","gdp_administrative_support_waste","gdp_administrative_support","gdp_waste_remediation","gdp_educational_health_social","gdp_educational","gdp_health_care_social","gdp_ambulatory_health","gdp_hospitals","gdp_nursing","gdp_social_assistance","gdp_arts_entertainment_recreation_accommodation_food","gdp_arts_entertainment_recreation","gdp_performing_arts_spectator_sports_museums","gdp_amusement_gambling","gdp_accommodation_food","gdp_accommodation","gdp_food_services","gdp_other_services","gdp_government_gov_enterprises","gdp_federal_civilian","gdp_military","gdp_state_local","gdp_natural_resources_mining","gdp_trade","gdp_transportation_utlities","gdp_manufacturing_information","gdp_goods_producing_industries","gdp_services_providing_industries","party_governer","party_prop_representative","party_prop_senator","median_household_income","population","number_photovoltaic_shipments"
"Hawaii",2015,19.7810367967645,16,1033143,383,70,383,70,0,0,0,0,0,0,2154,1129,17353,0,0,0,0,0,0,24957,8360,24957,298992,0,38,38,7182,7220,5710,901121,715002,186119,5891,180228,12625,888496,703062,4028,1057,4313,46438,18427,24270,89828,33580,10684,28910,41344,47000,8996,64020,20059,80071,22285,108482,49270,185434,33074,58089,94271,75033,19238,82644,65362,485.8,402.4,83.5,63.2,0.5,62.3,0.5,1864.2,4667,1665,360.8,12.4,138.2,0.7,31.8,5.3,31.6,2,0.7,79.9,17.1,41,1304.2,499.1,13.6,22.7,7.5,64,586,84.1,27.2,2690.5,5479.5,4232.4,2608.4,0,290.4,298.8,267.5,0,728.4,38.8,1824.7,212.7,229.8,1244.1,138,18850.2,2859.7,995.3,165.1,1685.8,13.5,15990.5,14549.5,1441,7246.8,3417.1,699.9,613.3,2103.9,1022.7,2807,2580.4,226.6,6314,907.6,5406.4,2746.2,1666.9,411.8,581.5,8139.5,944.6,489.6,454.9,7195,4506.3,2688.7,1839.2,17282,4190.4,5525.3,7566.4,549.1,8169.9,6096.5,3489.7,6881,58480.9,0,0,0,73486,1422999,74912
"Iowa",2015,77.4157396128853,198,5552396,31304,5762,568234,99820,0,0,0,0,536929,94058,1281,8948,177203,0,0,0,54836,0,0,766862,419,821698,1507520,0,6967,6967,14458,21425,166555,2059837,1627084,432753,71502,361251,90662,1969175,1700977,15223,5088,6955,117206,223317,75664,224367,78784,29158,128168,69225,78780,20408,89973,48064,217163,33698,130209,109527,268198,17548,12418,238232,67441,170791,179459.2,159148.7,9162.7,8663.9,498.8,288.3,0,283,5.3,2960.8,7340.4,34323.6,18549.6,727.6,1116.4,1076.9,1972.2,8133.3,2010.3,878.1,1091.7,344.6,823.3,375.2,15774,7450.7,54.5,48.2,854.9,508.1,256.9,5448.2,1152.5,10787,9041,5771.9,100.9,1108,19.2,2934.6,147.3,90,598.5,773.5,4645.9,1318.7,156.6,2132.4,1038.2,41923.3,24413.1,6095.4,575.9,17655.1,86.7,17510.3,16168.4,1341.9,11202.1,5593.7,1023.7,1144.5,3425.5,2157.7,3450.8,3128.8,322,13049.9,1657.7,11392.2,5354.6,2989.8,2006.8,1041.1,5097.2,1099.1,405.6,693.5,3998.1,1298.8,2699.3,3554.5,20310.5,1904.5,883,17523,9451,19828,8732.7,38969.5,51115,108033.7,1,0.666666666666667,1,54736,3122541,6913
"Idaho",2015,18.0359139413253,108,1895904,0,0,8871,1554,0,0,0,5.717,8871,1554,2207,81603,105046,1192,1.106,1078,0,172,30,153503,81,154866,540252,0,32130,32130,7455,39585,21156,949506,703879,245627,22809,222818,39810,909696,780319,13005,5334,3272,58159,68074,33856,108195,28844,11901,38959,48055,56491,6504,51967,17350,100190,18907,63815,47441,129377,12625,9058,107694,31117,76577,66082,57090.3,3617.7,3089.3,528.4,543.9,15.6,480.5,47.8,1304.6,3813.5,7089.3,4104.2,578.3,117.6,190.8,415.8,271.2,2017.6,107.6,89.7,117.1,96.1,102.3,2985.1,1929.6,21.9,37,263.8,155.8,47.1,312.9,217,4208.5,5338.6,1954.7,176.9,380.3,6.7,928.2,90.5,11.1,274.6,86.4,1488.7,298.4,43.5,748,398.8,11697.8,2849,1327.5,219.3,1224.5,77.6,8848.9,8474.7,374.2,6333.3,3654.7,374.1,447.3,2833.2,588.3,2090.3,1755.2,335.1,6102.2,557.8,5544.4,2337.1,2318.9,500.4,387.9,2323.6,429.2,123.7,305.5,1894.4,515.4,1379,1274,8991.6,1765.2,537.5,6688.9,4161.6,9547.1,3259.2,8578,15064.4,42026,1,1,1,48275,1652495,622
"Illinois",2015,219.157680982751,57,2533998,19087,3513,230655,40575,1252879,22.282,56227,5.717,211568,37062,2042,1160,105293,2210,1.062,2080,1017377,54426,9520,355359,1938,2682250,3920125,0,8185,8185,11225,19411,100154,7748868,6139095,1609773,61751,1548022,76494,7672374,6796249,12464,28783,25445,330297,602381,331288,728021,379251,119741,484156,299525,569085,101956,538366,211606,878350,158849,524503,472182,876125,80038,41848,754239,152127,602112,795326.1,716034.3,4386.8,3970.9,415.9,1781.7,133.3,1458.5,189.9,13200.1,27443.4,101229,50707.6,546.5,2018,2047.6,9946.3,15500.9,6063.5,4049.3,4185.6,779.3,1227,4343.8,50521.4,13226.8,286.1,268.3,2214.9,2690.1,8594.5,17625,5615.7,63365.4,40450.9,31199.2,8212.9,2936.4,394,8071.7,2260,762.5,5340.6,3221.2,27623.7,6093.9,1308.1,13405.2,6816.5,180107.7,80090.8,26993.7,13598.7,38948.2,550.2,100016.9,88539.6,11477.3,106856,64981.7,15024.2,11621.2,38336.2,16342,25532.3,23513.2,2019.1,67418.9,12215.3,55203.6,23093,21724.4,6047.6,4338.6,32674.3,9035.4,4449.9,4585.5,23639,6764.3,16874.6,18297.2,79291.8,11680.4,3079.8,64531.6,6168.5,103816.3,44399.2,128852.7,134841,581193.3,0,0.424242424242424,0.333333333333333,59588,12859585,6796
"Indiana",2015,187.233514227921,68,2525723,11841,2179,155552,27354,776493,22.641,34295,5.717,143711,25175,4647,3553,51990,7446,1.027,7250,0,12686,2219,242141,1714,1038766,2826490,0,18061,18061,16538,34599,42077,3796419,3104792,691627,50832,640795,61275,3735144,3291494,9530,13541,14515,190093,533812,133982,391805,162765,41909,146692,136877,170803,36205,232158,85304,422367,69322,273830,225984,443650,36681,21227,385742,116509,269233,329527.7,298281,3706.3,3247.2,459.1,1433.5,38,1349.1,46.4,6614.4,11855.1,90188.2,53000.8,942.8,1725.9,9039.5,6553.5,5996.7,2446,973.6,17220.7,2017.4,1760.7,4324,37187.4,6563.3,220.7,110,1036.7,1248.4,4303.4,20138.9,3566.1,19449.3,18454.4,11346.2,551.5,1400.7,242.7,5111.5,397.3,214.8,1755.1,1672.6,6525.9,1459.3,284,3853.2,929.4,51386.9,19494.9,4116.8,1294.4,13862.6,221.2,31892,29708.9,2183.1,27360.9,13787.3,2302.9,2924,8560.4,4245.2,9328.3,8268.8,1059.5,30322.4,3645.2,26677.2,12971.1,8815.2,3088.7,1802.2,12215.7,3715.7,1640,2075.6,8500,1576.5,6923.6,7421.7,31246.7,4474.2,1194.8,25577.7,5139.9,37903.7,17960.7,96714.1,107183.2,191097.8,1,0.733333333333333,0.5,50532,6611442,45324
"Kansas",2015,64.5125602284366,120,2548830,288,53,66484,11649,4387,22.026,199,5.717,66196,11596,974,177,103733,318548,1.121,284184,90254,260015,45481,177374,87,850580,1101677,0,4487,4487,2671,7158,102495,1910954,1481874,429080,51794,377286,64416,1846538,1550739,10020,46460,7040,91458,168324,68444,188421,63256,25282,100534,66604,105625,29604,103436,28794,199724,31169,118503,98041,295799,25038,35320,235441,53629,181812,154015.6,133449.6,4171.5,3819.9,351.6,1211.8,741.1,134.7,336.1,2820.5,5694.8,23595.3,12678.9,169.2,632.6,140.9,1344.3,1932.2,670.2,444.9,1219.5,5583.8,233.8,307.5,10916.5,4264.6,49.5,46.3,241,858.5,2646.8,1799.5,1010.2,10545.9,9464.5,5963,71.9,1723.9,0.1,1757.2,175.3,732.9,976.1,525.6,5214.5,915.6,127.6,3709.3,462,26913.1,8612.7,2599.5,1009.2,4947.3,56.7,18300.4,13602.6,4697.8,17058.5,8521.4,890,2128.6,5502.8,3875.7,4661.4,4348.1,313.3,12585.5,1108.3,11477.2,5250.9,3810.1,1485.1,931.2,4879,904.5,169.2,735.4,3974.5,680.3,3294.2,3331.3,20566,2583.8,3039.7,14942.5,5383.4,20010.4,8783.6,28809.8,34673.5,98776.1,1,1,1,53906,2910717,NA
"Kentucky",2015,131.34296970926,129,315635700,4524,833,8246,1485,1486019,24.189,61434,5.717,3723,652,2712,31717,34627,108080,1.127,95907,0,16362,2862,75319,198,1685780,1730308,0,30971,30971,1475,32445,0,2473915,1978756,495159,69557,425602,86189,2387726,2030051,13161,23666,6927,123420,249077,83656,256215,115611,30022,105525,85336,112377,22206,153819,41262,261058,38562,176240,131911,357675,36633,48389,272653,99560,173093,192819.3,165182.7,2937.9,2475.3,462.6,2780.2,174.4,2344.2,261.6,3492.1,7777.3,35640.7,20608.4,654.8,893.9,2645.4,2108.4,2126,1265.9,1607,8129.6,533.9,307,336.4,15032.3,7095.4,184.9,58.3,1477.1,773.9,1740.9,2034.4,1667.4,13641.6,10991.5,8791,447.9,744.6,793.4,2088.1,183.9,206.5,3011.3,1315.3,4622.3,588.5,117,3104,812.8,29723,10561.8,3622.3,950.1,5914.9,74.5,19161.2,17821.1,1340.2,16038.3,7824.7,1519.8,1413.3,4891.6,2593.1,5620.5,5121.6,498.9,17542.8,1366.4,16176.4,7403.8,5979.6,1710.8,1082.2,7147.7,966.5,530.5,435.9,6181.2,1298.9,4882.3,4056.2,27636.6,4493.6,4193.5,18949.6,5718.1,24633.1,12283.1,40263,49136.1,116046.5,0,0.846153846153846,1,45215,4429126,NA
"Louisiana",2015,185.559256142945,61,2312261,0,0,0,0,46879,13.633,3439,5.717,0,0,1842,9310,12672,1916410,1.062,1805197,160015,364396,63739,132249,1521,2619950,3911919,0,106587,106587,12990,119577,0,2696590,2076097,620493,23831,596662,32670,2663920,2300576,18620,76831,9100,193274,153496,83260,279966,106834,32301,105186,115754,143206,27891,152528,55528,305581,52958,216619,171643,363344,30231,37866,295247,81873,213374,231751.8,205280.8,1653.6,1098.8,554.8,10110.5,5373.6,462.5,4274.4,4833.5,11921.9,45562.4,8068.9,653.9,705.7,507,1937,1956.6,237.8,169.4,72,1465.3,69.8,294.3,37493.4,2383.2,83.7,25.7,2074.7,218.6,19771.7,12471.9,463.9,12212,14708.8,9833,713.8,690,2007.5,1823,360.4,722.7,2656.2,859.4,5262.1,467.7,1572.7,2854.5,367.1,33287.6,9052.6,3603.8,622.3,4689.6,136.8,24235,19554.5,4680.5,20563.2,11722.8,3231.8,871.8,7619.2,2593.9,6246.6,5216.2,1030.4,19577.1,2302.8,17274.3,8463.1,6059.3,1512.3,1239.7,10745.7,2211.4,1118.1,1093.3,8534.3,3123.6,5410.7,5009.3,26471,3546.7,2475.6,20448.7,11764.1,26920.8,14666.6,50824.5,69248.4,136032.5,1,0.8,1,45727,4666998,7806
"Massachusetts",2015,66.7465216800646,34,4240538,36,7,36,7,0,0,0,0,0,0,859,7709,23103,0,0,0,52236,0,0,62787,12535,115022,1468270,0,20876,20876,18772,39648,2000,4631417,3610339,1021078,6467,1014611,11534,4619883,4159329,9962,3803,12215,236422,263630,143188,414929,137638,103057,273764,195635,457368,67393,243807,243757,674267,121274,314032,243188,460554,45960,19822,394772,126403,268369,503178.5,451342.1,740.2,216.4,523.9,265.2,2.5,248.2,14.6,6247.5,17162.5,51240.5,32821,181.4,847.5,343.8,5147.2,2092.5,15968,1521.9,228.5,1635.1,351.1,4503.9,18419.6,3056.7,423.7,320.8,860.6,1377,366.6,10514.7,1499.4,26045.8,19961.4,8618.8,2021.9,378.9,182.6,1715.4,1962.5,40.5,1547.9,769.1,27075.2,14574.1,514.4,6616.9,5369.8,116366.2,46789.5,14203.2,13320.4,16833.6,2432.3,69576.8,65825.2,3751.5,84677.5,59491.8,7202,13993.4,38296.3,12048.3,13137.4,11620.6,1516.8,62980.5,15372.6,47607.9,18575,19595.9,4776.9,4660,20535.9,6396.3,3896.9,2499.4,14139.6,3784,10355.5,9424.8,51836.4,8176.4,6732.6,36927.3,1005.5,46007.2,14866.2,78315.7,69408.5,381933.6,0,0,0,70628,6797484,172479
"Maryland",2015,62.2803268405625,100,1890491,0,0,0,0,45587,23.72,1922,0,0,0,570,15127,24122,40,1.055,38,153140,0,0,47614,4375,246381,1424201,0,14425,14425,9067,23492,4050,3602936,2766847,836089,10958,825131,17172,3585764,3019070,6233,4873,10803,225166,114258,100752,348697,125865,51521,162351,178157,353678,27783,228150,101933,431638,87806,241463,217943,566694,173110,49790,343794,99611,244183,370768.3,294325,949.4,817,132.4,285.1,2,234.3,48.8,6734.7,15846.1,20032.5,9002.1,200.9,651.2,92.6,806.7,833.5,4286.9,215,164.5,678.8,324.4,747.7,11030.3,2886.2,118.5,105.9,267,615.6,448.5,5622,966.6,16861.4,18701.8,8021.3,1516.8,435.9,225.8,1553.6,1059.1,35.4,1957.5,1237.3,15174.5,2310.5,517.9,10912.4,1433.7,83088.2,18928.6,4648.7,3920.7,9148.4,1210.8,64159.6,55311.9,8847.7,51878.8,36863.4,3889.8,10471.9,22501.8,3890.1,11125.2,10111,1014.3,33964.1,5974.5,27989.5,13399.8,9254.1,3292.1,2043.5,14246.7,4320.5,1860.7,2459.7,9926.2,2218.1,7708.1,8540.3,76443.3,36480.8,9489.2,30473.3,1234.6,35563.3,14756.1,35207,37113.1,257211.9,0,0.142857142857143,0,75847,5988528,199459
"Maine",2015,16.6790885710446,74,2818563,43,8,43,8,0,0,0,0,0,0,72,31317,43787,0,0,0,0,0,0,161418,323,161418,424754,0,113815,113815,3773,117588,12075,816552,624810,191742,7198,184544,11349,805203,699098,14809,1176,1836,51778,55868,24021,99394,21440,9826,32356,32224,44560,9657,42021,20513,115428,20047,60792,41352,106105,14514,6900,84691,26235,58456,57559.8,49603,908,379.6,528.4,26.6,0,26.6,0,960.7,2055.1,5440.6,2864.5,313.8,116.6,24.7,533,206.4,457.4,37.7,33.7,909.9,95.8,135.6,2576.1,743.8,105.5,108.9,761.8,104.1,137.5,380.3,234.2,3312.7,4738.3,1323,91.8,61.4,9.6,527.4,118,23,260.6,231.3,1111.5,308.2,45.2,600.8,157.2,11865.2,3514.2,1221,235.2,2055,3,8351,7872.8,478.2,5805.2,3084.8,558.2,575,1951.6,969.8,1750.7,1558.2,192.4,7818.8,951.9,6866.9,2310,3030.1,900.2,626.6,2961.5,581.8,268.2,313.6,2379.7,806.9,1572.8,1276,7956.8,1789,566.3,5601.5,934.5,8050.9,2283.7,6552,8430.2,41172.8,1,0.333333333333333,0.5,51494,1329098,7248
"Michigan",2015,164.45562311224,76,3049845,712,131,39033,6844,0,0,0,5.717,38321,6713,5193,13971,64720,114061,1.059,107664,306773,37504,6560,223234,853,681571,2826679,0,98215,98215,21266,119481,44702,5501549,4327948,1173601,44067,1129534,69267,5432282,4827503,16812,21096,20577,248539,611972,195298,565895,161413,73107,236891,241385,403341,61409,375203,113384,662719,101903,388643,327916,604779,51523,18686,534570,179907,354663,473149.5,421749.8,3208,2690.2,517.8,1782.3,126.8,1491.3,164.1,9104.5,17490.5,91249.2,70926.1,755.5,1759.8,3310.6,7775.7,8864.3,2059.5,2689.7,37594,1028.5,2382.9,2705.7,20323.1,5339.5,255.1,253.9,1388.1,1223.8,1627.9,6169.9,4065.1,32102.1,27733.8,11944.5,3122.6,470.8,111.2,4285.4,496.1,261.7,2065.1,1131.7,12594,3590,581.4,6078.3,2344.4,81559.5,26317,8066,2091.1,15809.7,350.2,55242.5,48495.6,6747,61578,36835.9,4511,6082.2,26242.7,9124.5,15617.6,14326.5,1291.1,44259.9,4154.6,40105.2,17255.3,16716.9,3863,2270,16365.2,3280.7,1905.1,1375.6,13084.5,3804.5,9280,10778.3,51399.7,7248.5,1691.3,42459.9,4990.3,59835.9,21049,103843.2,113730,308019.8,1,0.636363636363636,0,51084,9934483,7636
"Minnesota",2015,89.3309991483781,119,3292766,7761,1429,165989,29147,0,0,0,0,158228,27718,1075,7912,100589,0,0,0,125900,0,0,345949,473,471848,1813635,0,65241,65241,14129,79370,91129,3662852,2922955,739897,62195,677702,79711,3583141,3161792,13860,11764,13485,173309,333306,149052,361808,121216,59940,211113,147513,225335,80966,171254,93714,480002,84991,230947,198217,421349,31586,19751,370012,94326,275686,333065.8,299753.8,6259.8,5861.3,398.6,750.3,40.4,698.1,11.9,5152,12749,48352.2,30834.8,1069.3,1047.7,639.4,4157.9,4235.4,9866.8,1439.1,822.1,1942.2,868.2,4746.7,17517.5,5715.1,351.4,140.2,1583.9,2177.9,3384.7,2528.3,1636,25729.7,17701.2,10302.7,2861.5,1267,297.6,2915.6,834.8,298.4,1337.6,490.2,12341.8,4507.3,305,5173.4,2356.1,66873.3,28304.9,10061,3465.1,14374.2,404.6,38568.4,36743.2,1825.3,42015.3,21679.7,3608.5,5356.5,12714.7,12432.4,7903.2,7135,768.2,33617.6,3528,30089.7,13862.2,9383,4042.8,2801.6,10887.5,2972,1799.9,1172.1,7915.5,1715.7,6199.8,7021.4,33312,3747.7,1407.3,28157,7010.2,43430.9,15454.6,60694,68111.4,231642.4,0,0.363636363636364,0,63488,5484002,10467
"Missouri",2015,124.7473310589,619,7036095,17585,3237,54724,9743,3178,22.992,138,5.717,37139,6506,352,14864,26386,1,1.012,1,109182,852,149,105635,1542,218848,1831407,0,22108,22108,2417,24526,9627,3655804,2887001,768803,88364,680439,98335,3557469,3086502,13010,9565,12428,182808,274756,136297,384818,128763,58440,187348,151130,210316,68339,204246,82643,433342,71888,267477,208888,470967,57502,35532,377933,104061,273872,293938.3,258381.8,3185.4,2811.4,374,703.4,2.5,670.6,30.3,5288.3,9855.2,39256.4,21002.3,561.9,828.7,780,2642.1,2569.8,2142,1847,4364.9,3792.1,449.2,1024.7,18254.1,7541.7,131.6,158.4,1331.8,1228.1,494.6,5899.4,1468.4,20039.7,17459.7,10147,1109.2,1918.3,141.9,3796.1,507,72,1662.5,940.1,11607.1,1724.7,299.6,6628.7,2954.1,55240.5,21828.6,9752,2793.7,9197.2,85.7,33411.8,27938.1,5473.8,37080.8,19653.9,4022.9,4792.6,10838.4,8912.6,8514.3,7865.1,649.2,29586.4,3949.2,25637.1,10520.3,10211.9,2742.4,2162.5,12096.2,3810.8,2499.2,1311.6,8285.4,1772.6,6512.8,6835.6,35556.6,6936.8,2583.6,26036.2,3888.9,37499.4,15435.3,50863.5,53000.5,205381.3,0,0.75,0.666666666666667,50238,6075411,14464
"Mississippi",2015,61.2969212870873,403,3710526,1898,349,5911,1052,34528,10.984,3143,5.717,4012,703,958,0,988,60476,1.039,58181,122511,142485,24923,60419,29,420420,1085042,0,51479,51479,2042,53521,0,1568218,1201889,366329,31406,334923,40781,1527437,1253380,14635,16635,8310,82866,147241,41745,170896,58947,16625,55320,50367,56497,12040,96922,25799,154440,20760,127747,95588,274057,25284,27261,221512,67115,154397,105427.9,86740.9,2212.5,1668.3,544.2,907.1,487.6,112.8,306.8,3200.4,4176.8,16545.5,9519.6,906.2,353.3,553.6,772.5,1400,139.8,840.7,1951.4,1328.7,1080.9,192.4,7025.8,1730.4,314.6,72,714.2,202.2,1800.4,1188,1004.1,5633,8179.1,3600.7,78.4,391.9,221.8,1451.5,67.6,193.7,611.6,584.2,2452.1,261.2,72.5,1858.6,259.8,16073.3,5083.2,2683.9,173.9,2172.1,53.3,10990.2,9870.5,1119.7,7580.8,3500.6,963.3,425,2112.4,1221.6,2858.6,2610.4,248.2,8893.4,864.7,8028.7,4365.6,2080.8,898.1,684.2,4752.4,618.3,113.4,504.9,4134.1,1534.3,2599.8,2533.9,18687,3333.6,1883.3,13470.1,3119.7,13812.1,6801,18997.6,23841.9,62899,1,0.75,1,40593,2990231,NA
"Montana",2015,32.5316454156102,94,896759,0,0,0,0,746222,17.825,41864,5.717,0,0,337,92144,110876,55943,1.089,51356,0,163249,28555,125018,85,1090432,403641,0,13759,13759,383,14143,18309,660524,479397,181127,23424,157703,30291,630233,534707,7732,13667,3233,44680,23461,20873,75389,20115,8113,24833,34979,36987,2505,24995,9166,73015,19834,56258,34872,95526,13050,8046,74430,27362,47068,46269.3,39424.1,2004.9,1751.5,253.4,1960.4,350.1,1304,306.3,1096.5,2548.6,3362,1083.1,329.7,184.2,17.7,160.6,125.2,52.7,17.1,24.3,15.9,34.4,121.3,2279,376.5,7.9,4.6,2.3,69.7,1677.4,113.5,27,2637.7,2884.6,2147,142.8,974.4,2.7,593.2,66,92.8,258.9,16.2,1071.5,196.9,78.4,676.5,119.6,8365.5,2142.3,1188.2,182.5,768.9,2.7,6223.2,5475.2,748,3384.4,2202,398.5,374.1,1429.4,217.7,964.7,843.8,120.9,4655.2,246.3,4408.9,1674.2,2005,461.9,267.8,2316.6,562.1,143.1,419,1754.6,691.2,1063.4,989,6845.2,1574.9,480.5,4789.8,3965.4,5522.3,3243.5,4433.5,9876,29548.1,0,1,0.5,49509,1031495,499
"North Carolina",2015,124.77828407323,232,202376181,256,47,256,47,0,0,0,0,0,0,967,44191,59028,0,0,0,440248,0,0,170008,13870,610256,2595919,0,101592,101592,9132,110724,0,5695035,4494918,1200117,40654,1159463,67913,5627122,4775212,25296,8689,15469,312455,483719,205847,588147,169020,90498,249483,244270,339681,86558,393686,139700,550758,118210,422616,331110,851910,70398,128862,652650,213388,439262,502808.4,434710.6,5048.2,4144.8,903.4,424.5,10.4,387.7,26.5,7825.9,17082.3,97763.8,41444.7,1790.4,1812.7,680.2,3858.6,4897.2,10780.7,4355.8,3093.6,5789.6,2322.5,2063.6,56319,20102.6,2508.3,348,2183.7,1007.7,339.5,26150.9,3678.4,29736.1,25848.3,11518.7,2859.5,418.5,43,4012.5,518.4,62.4,2254.5,1349.9,18017.9,5478.2,400.4,8242.5,3896.8,96040.6,40626,27313.6,3815.2,9458.6,38.6,55414.6,51506.7,3907.9,57632,29576.2,3611.2,6600.6,19364.4,12571.1,15484.7,14546.5,938.2,39664.6,7027.6,32637,17416.3,8873.6,3683.6,2663.5,17976.3,4150.2,2616.7,1533.4,13826.1,2812.9,11013.1,10131.4,68097.8,9552.6,11382.7,47162.5,5472.8,55584.4,19344.6,115781.7,120318.9,314391.7,1,0.75,1,47830,10037218,1370753
"North Dakota",2015,57.9230602994153,16,420940,8545,1573,57786,10199,392183,13.617,28802,5.717,49241,8626,978,19516,81127,678977,1.44,471360,0,2456200,429631,141748,7,3669109,608353,0,865,865,1971,2835,60627,597642,471445,126197,24630,101567,29779,567863,480189,4578,30294,3952,43885,27091,28681,62266,27833,7442,27017,23800,24023,5694,18502,6376,64466,7760,38803,27726,87674,9210,11560,66904,25235,41669,55069.1,49297.6,2603.3,2442.8,160.5,6197.2,2140.4,567.2,3489.5,1257.1,4044.8,3812.8,2342,152,233.9,25.5,170.2,1291.1,177.2,13,77.7,115.7,44.7,41,1470.8,767.6,16.6,4.6,18.5,38.8,324.6,168.8,131.4,5139.7,3240.3,3205.5,41.9,696.1,20.3,1774.8,87.9,209.8,340.9,33.9,1236.4,484.4,21.8,649.6,80.6,8750.6,2496,1044.2,142.8,1297.4,11.5,6254.6,4754.6,1499.9,3314,1871.7,210.5,250.6,1410.7,584.6,857.7,736.4,121.3,4069.2,175.1,3894.1,1467.9,1529.1,644.1,253.1,1448.1,152.4,42,110.4,1295.7,398.9,896.9,978.6,5771.5,422.3,783.9,4565.3,8800.5,8379.9,4462.6,5049.2,16658.1,32639.5,1,1,0.666666666666667,60557,755537,NA
"Nebraska",2015,50.710575864428,247,3396859,126,23,266404,46669,0,0,0,5.717,266278,46646,1212,15702,46594,504,1.057,477,107976,15419,2697,317158,41,441057,857967,0,2958,2958,1203,4161,29639,1302833,1030952,271881,40436,231445,56525,1246308,1071530,10394,3656,1309,71902,100879,46887,136217,65227,20017,80240,46314,63712,22902,63682,23917,140978,23888,79950,69459,174778,16690,12672,145416,34579,110837,115663.9,101421.8,7984.8,7664.4,320.3,216.1,8,193.1,15,2611.8,3353.8,12547,5485.8,136.4,288.4,189.2,782.1,1426.4,470,265.2,590.8,104.1,96.2,1137,7061.1,3876.5,42.5,40.6,149.7,239.1,11.2,2139.2,562.2,7757.6,6071.4,9791.9,169.5,4095.1,NA,2483.3,89.9,2124.6,540.7,288.9,3371.8,652,45.5,1425.8,1248.6,22710.1,11626.6,2606.7,612.9,8365.9,41.1,11083.6,10366.7,716.9,10614.6,4784.3,863.8,1284.7,2635.7,2993.1,2837.3,2591.3,245.9,9037.4,941,8096.5,3665.7,2541.3,1216.2,673.2,3063,590.2,261.1,329.1,2472.8,449.7,2023.1,2290.4,14242.1,1680.1,927.4,11634.6,8200.9,13829.1,12403.7,15918.8,24101.7,77320.2,1,0.8,1,54996,1892059,NA
